Wavelengths,R3B
509,0.012708530196343428
510,0.008485371117104536
511,0.006388743214503197
512,0.005244044913753611
513,0.004464129973360083
514,0.003919124666860575
515,0.003529421019154331
516,0.0033255011174932667
517,0.003138709314738889
518,0.003058290404200909
519,0.0029169745980594883
520,0.0027370660873581427
521,0.0025479443615636613
522,0.0024756897758865326
523,0.002299078863575148
524,0.0022024177150188487
525,0.0022126074569368912
526,0.002204037335662779
527,0.0021631757884155636
528,0.002077649442346928
529,0.001963180902399588
530,0.0018776019080242496
531,0.001769268386747567
532,0.0016789375998568687
533,0.0016458066704094921
534,0.0014847218342131378
535,0.0013871389887625118
536,0.001398027261631054
537,0.0015916210498080389
538,0.0015674663803542275
539,0.0014846630960290372
540,0.0014897970032211728
541,0.0015266945132708664
542,0.001471211471519429
543,0.0013907756763775522
544,0.001527862274490111
545,0.0015180969669816552
546,0.001395270242814038
547,0.001293578493740295
548,0.0012356474721128836
549,0.001147295676884819
550,0.001110422234837345
551,0.0011258152372174443
552,0.00117506630378862
553,0.0011522239043385812
554,0.0010566019998980974
555,0.0010058798431077736
556,0.0010266441373413607
557,0.0011016006371999073
558,0.001044287687702853
559,0.0010062384276970273
560,0.0009383920371629118
561,0.0009871574213155805
562,0.0010362596363237954
563,0.0010236708577262528
564,0.0009261614910660073
565,0.0009291445888074418
566,0.0009753216437280103
567,0.0010312152338317897
568,0.0010277656133486901
569,0.001092895437580591
570,0.0011755830348665474
571,0.0010769539203748595
572,0.0010299666561888253
573,0.0009985281035719646
574,0.0010175999261392665
575,0.0009432651291549876
576,0.0008694655242538408
577,0.0008681236365729097
578,0.0008370448087286406
579,0.0007190043047326621
580,0.0007873379264026531
581,0.0008066330961104836
582,0.0008237784645486864
583,0.0008565817408820478
584,0.0009284201059751472
585,0.0010707998653198064
586,0.001087942710973674
587,0.0009355404620419395
588,0.0009312133965528423
589,0.0010293338925586655
590,0.0010029173204843971
591,0.0008825377381542713
592,0.0008273598939092371
593,0.0008430572340507818
594,0.0008637479936526534
595,0.0007990987588079112
596,0.00092029274865791
597,0.0009259505404894183
598,0.0009759077908796342
599,0.0008568818734501405
600,0.0007539772442766492
601,0.0007520715845616465
602,0.0008096599862593339
603,0.0007492299729597711
604,0.0006955649776015409
605,0.0008000978992244901
606,0.0008518988110536542
607,0.0009491175695138896
608,0.00082844189973969
609,0.000669911145459788
610,0.0007416296605929435
611,0.0007820835358675756
612,0.0006654411564471817
613,0.0005068844173912352
614,0.0004217758889104969
615,0.00045772291417894634
616,0.00046354165294050915
617,0.0005558341345053342
