EXMPC,,,,,,
WAC,,,,,,
G01,,,,,,
440,,,,,,
25,,,,,,
nm,,,,,,
Angular Dependence,,,,,,
Wavelengths,0,8,16,24,32,40
429.61,0.8953,0.92887,0.9267,0.91421,0.50314,0.13201
429.98,0.91762,0.93016,0.92709,0.91578,0.48321,0.09848
430.34,0.93033,0.92981,0.92681,0.91748,0.46884,0.06973
430.71,0.93664,0.92815,0.92737,0.9184,0.45786,0.04441
431.08,0.93958,0.92927,0.92842,0.91928,0.45144,0.02543
431.45,0.94073,0.92987,0.93085,0.91985,0.44726,0.01188
431.82,0.94066,0.93097,0.93331,0.92026,0.44428,0.00257
432.18,0.94068,0.93275,0.93538,0.91943,0.44199,-0.00352
432.55,0.94073,0.93368,0.93729,0.91786,0.43843,-0.00688
432.92,0.94099,0.93472,0.93832,0.91558,0.43387,-0.00862
433.29,0.94292,0.93637,0.9391,0.91499,0.42846,-0.00941
433.65,0.94352,0.93662,0.93927,0.91397,0.42038,-0.00991
434.02,0.9437,0.93639,0.93792,0.91277,0.40892,-0.00992
434.39,0.94452,0.93735,0.93681,0.91313,0.39325,-0.01071
434.76,0.94559,0.93806,0.93588,0.91405,0.37168,-0.01017
435.12,0.94684,0.93985,0.93383,0.91314,0.3449,-0.0103
435.49,0.94738,0.94095,0.93353,0.90985,0.31345,-0.01068
435.86,0.94664,0.94137,0.93225,0.90246,0.27683,-0.01068
436.23,0.94785,0.94257,0.93198,0.89037,0.23687,-0.01063
436.59,0.94939,0.94416,0.93255,0.87224,0.19601,-0.01091
436.96,0.95094,0.94456,0.93302,0.8465,0.15648,-0.01014
437.33,0.9524,0.94544,0.93359,0.81295,0.12022,-0.01038
437.7,0.95281,0.94463,0.93551,0.77403,0.08889,-0.01039
438.06,0.9539,0.94389,0.93599,0.73227,0.06272,-0.00997
438.43,0.95439,0.94335,0.93688,0.68781,0.04214,-0.00996
438.8,0.95477,0.942,0.93756,0.64325,0.02653,-0.01002
439.16,0.9555,0.94115,0.93859,0.6027,0.01548,-0.00971
439.53,0.95447,0.93976,0.93864,0.5653,0.00764,-0.0097
439.9,0.95279,0.9382,0.93862,0.53373,0.00242,-0.00948
440.27,0.95133,0.93745,0.93837,0.50682,-0.00147,-0.00949
440.63,0.94921,0.93792,0.93852,0.48349,-0.00365,-0.00943
