AUPE,,,
HRC,,,
blank,,,
NA,,,
NA,,,
nm,,,
Hoya-C5000 IR Cut,,,
Wavelengths,0,8,16
803,0.05118426,0.05118426,0.05118426
804,0.050702623,0.050702623,0.050702623
805,0.050220986,0.050220986,0.050220986
806,0.049739349,0.049739349,0.049739349
807,0.049257712,0.049257712,0.049257712
808,0.048776075,0.048776075,0.048776075
809,0.048294438,0.048294438,0.048294438
810,0.047812801,0.047812801,0.047812801
811,0.047331164,0.047331164,0.047331164
812,0.046849527,0.046849527,0.046849527
813,0.046367891,0.046367891,0.046367891
814,0.045886254,0.045886254,0.045886254
815,0.045404617,0.045404617,0.045404617
816,0.04492298,0.04492298,0.04492298
817,0.044441343,0.044441343,0.044441343
818,0.043959706,0.043959706,0.043959706
819,0.043478069,0.043478069,0.043478069
820,0.042996432,0.042996432,0.042996432
821,0.042514795,0.042514795,0.042514795
822,0.042033158,0.042033158,0.042033158
823,0.041551521,0.041551521,0.041551521
824,0.041069884,0.041069884,0.041069884
825,0.040588247,0.040588247,0.040588247
826,0.04010661,0.04010661,0.04010661
827,0.039624973,0.039624973,0.039624973
828,0.039143337,0.039143337,0.039143337
829,0.0386617,0.0386617,0.0386617
830,0.038180063,0.038180063,0.038180063
831,0.037698426,0.037698426,0.037698426
832,0.037216789,0.037216789,0.037216789
833,0.036735152,0.036735152,0.036735152
834,0.036253515,0.036253515,0.036253515
835,0.035771878,0.035771878,0.035771878
836,0.035290241,0.035290241,0.035290241
837,0.034808604,0.034808604,0.034808604
838,0.034326967,0.034326967,0.034326967
839,0.03384533,0.03384533,0.03384533
840,0.033363693,0.033363693,0.033363693
841,0.032882056,0.032882056,0.032882056
842,0.03240042,0.03240042,0.03240042
843,0.031918783,0.031918783,0.031918783
844,0.031437146,0.031437146,0.031437146
845,0.030955509,0.030955509,0.030955509
846,0.030473872,0.030473872,0.030473872
847,0.029992235,0.029992235,0.029992235
848,0.029678403,0.029678403,0.029678403
849,0.029401381,0.029401381,0.029401381
