EXMPC,,,
EXMPCHRCfull,,,
Bayer,,,
NA,,,
NA,,,
nm,,,
On Semiconductor TND6114/D Technical Note,,,
Wavelengths,Red,Green,Blue
1037,0.01524324,0.010733739,0.010718436
1038,0.013990625,0.009851693,0.009893941
1039,0.012738011,0.008969647,0.009069446
1040,0.011485397,0.008087601,0.008244951
1041,0.010232782,0.007205556,0.007420456
1042,0.008980168,0.00632351,0.00659596
1043,0.007727553,0.005441464,0.005771465
1044,0.006474939,0.004559418,0.00494697
1045,0.005222324,0.003677372,0.004122475
1046,0.00396971,0.002795326,0.00329798
1047,0.002717095,0.00191328,0.002473485
1048,0.001464481,0.001031235,0.00164899
1049,0.000211867,0.000149189,0.000824495
1050,-0.001040748,-0.000732857,0
1051,-0.002293362,-0.001614903,-0.000824495
1052,-0.003545977,-0.002496949,-0.00164899
1053,-0.004798591,-0.003378995,-0.002473485
1054,-0.006051206,-0.004261041,-0.00329798
1055,-0.00730382,-0.005143086,-0.004122475
1056,-0.008556435,-0.006025132,-0.00494697
1057,-0.009809049,-0.006907178,-0.005771465
