PanCam_CT Measured ~2018 Aber. Uni.,,,,,,,,
Wavelength,MultiSpec,White,Red,Yellow,Turquoise,Blue,Light_Gray,Dark_Gray
401.45,13.393,49.926,8.7,8.809,14.437,25.287,15.389,5.981
401.82,13.208,50.637,8.741,8.698,14.394,25.09,15.357,5.996
402.19,12.98,51.48,8.66,8.635,14.43,24.967,15.345,6.027
402.55,12.877,52.277,8.726,8.59,14.426,24.808,15.333,6.07
402.92,12.938,53.016,8.73,8.558,14.507,24.71,15.282,6.12
403.29,12.985,53.864,8.781,8.539,14.592,24.594,15.293,6.118
403.66,13.148,54.587,8.717,8.496,14.743,24.53,15.192,6.116
404.03,13.382,55.213,8.677,8.443,14.781,24.405,15.176,6.18
404.4,13.576,56.076,8.615,8.487,14.824,24.272,15.148,6.163
404.77,13.883,56.679,8.573,8.482,14.895,24.201,15.203,6.129
405.13,14.113,57.446,8.577,8.501,14.946,24.177,15.259,6.137
405.5,14.453,58.12,8.583,8.578,15.011,24.157,15.225,6.092
405.87,14.799,58.904,8.549,8.593,15.083,24.093,15.312,6.072
406.24,15.152,59.784,8.559,8.577,15.104,23.892,15.263,6.097
406.61,15.561,60.52,8.568,8.48,15.258,23.84,15.248,6.075
406.98,15.967,61.151,8.592,8.408,15.301,23.833,15.267,6.137
407.34,16.464,61.917,8.662,8.498,15.342,23.823,15.201,6.127
407.71,16.994,62.626,8.697,8.518,15.341,23.718,15.086,6.08
408.08,17.448,63.309,8.685,8.375,15.317,23.641,15.176,6.114
408.45,17.961,63.889,8.723,8.398,15.285,23.637,15.105,6.174
408.82,18.487,64.501,8.782,8.424,15.192,23.594,15.153,6.115
409.19,18.985,65.125,8.716,8.457,15.208,23.534,15.153,6.18
409.55,19.437,65.802,8.668,8.514,15.202,23.406,15.171,6.16
409.92,19.642,66.48,8.569,8.499,15.212,23.304,15.156,6.15
410.29,19.836,67.043,8.5,8.501,15.32,23.172,15.198,6.22
410.66,20.036,67.731,8.466,8.56,15.362,23.065,15.148,6.256
411.02,19.937,68.409,8.453,8.562,15.425,22.864,15.121,6.315
411.39,19.667,69.042,8.4,8.544,15.564,22.757,15.06,6.385
411.76,19.251,69.764,8.449,8.55,15.584,22.624,14.992,6.298
