MacBeth_ColorChecker,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,Dark skin,Light skin,Blue sky,Foliage,Blue flower,Bluish green,Orange,Purplish blue,Moderate red,Purple,Yellow green,Orange yellow,Blue,Green,Red,Yellow,Magenta,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
362.8,8.895,23.794,20.406,7.548,19.27,18.8,16.721,13.593,9.173,7.909,14.811,14.121,2.123,1.029,1.928,19.519,10.692,3.213,35.209,14.719,22.697,14.004,7.861,2.258
363.18,7.913,22.903,20.301,7.945,18.909,18.962,15.815,12.926,7.794,5.777,13.912,13.397,0.54,-0.722,0.126,17.645,9.321,2.96,35.329,13.811,23.237,14.359,8.597,2.289
363.55,8.028,23.504,19.714,7.012,18.146,19.166,15.469,13.206,7.876,5.954,13.171,12.863,-0.452,-0.957,-0.154,16.848,10.447,3.462,35.661,13.259,22.846,14.007,8.496,1.454
363.92,8.361,22.628,18.375,6.239,18.201,19.157,15.244,13.204,7.89,5.591,13.366,14.741,-0.143,0.959,0.422,17.009,12.24,4.209,36.122,13.231,22.043,13.839,8.439,1.278
364.3,8.971,22.972,18.376,6.155,18.745,19.834,15.158,14.617,8.386,5.921,13.472,14.435,0.446,1.095,1.775,17.805,11.737,4.685,36.069,15.194,22.511,14.08,8.387,1.219
364.67,8.685,22.495,18.304,6.197,19.2,20.424,14.392,13.831,8.248,6.366,13.069,14.439,0.559,0.963,1.47,17.851,12.829,4.2,36.627,15.697,22.089,13.575,9.421,1.656
365.05,9.226,22.917,18.531,7.336,19.906,20.131,15.027,14.051,9.582,6.606,13.083,15.62,0.078,2.534,1.79,18.798,13.132,5.237,38.376,16.424,22.084,13.398,9.601,1.8
365.42,8.936,22.721,18.747,7.106,19.87,20.409,14.329,14.158,8.89,6.497,11.663,14.953,-0.914,3.05,2.878,18.297,14.316,4.699,39.175,17.092,21.919,13.211,9.693,2.82
365.79,8.337,22.243,18.165,6.654,19.57,20.466,14.34,13.476,9.235,5.867,12.166,14.663,-1.986,3.483,2.836,18.611,14.102,4.026,37.776,17.576,22.819,13.978,10.443,2.87
366.17,8.878,22.281,17.1,6.619,19.469,20.05,15.274,14.086,9.315,6.297,11.932,15.388,-1,4.023,3.337,18.396,14.585,4.666,38.166,17.676,22.392,12.746,10.202,3.418
366.54,9.344,22.736,16.919,7.547,19.992,20.195,15.304,14.779,10.131,6.733,12.439,15.079,0.398,4.579,3.744,18.322,14.753,4.547,38.18,18.582,21.919,11.677,10.553,3.758
366.92,9.185,22.961,17.669,8.2,20.538,20.511,15.633,14.47,11.208,7.869,12.41,15.965,0.886,5.291,4.122,18.587,15.279,6.038,37.601,18.815,21.579,11.445,9.928,3.51
367.29,10.158,23.354,18.178,8.508,20.859,21.374,16.487,15.132,12.166,9.697,13.023,17.246,1.959,6.775,5.699,19.222,16.78,6.652,37.775,19.419,20.959,10.854,8.49,2.962
367.66,10.386,23.303,18.476,8.668,20.928,21.22,17.112,14.664,12.783,9.559,13.289,17.281,2.361,6.773,5.792,19.285,15.595,6.678,38.152,20.087,22.068,10.507,7.863,3.387
368.04,10.111,23.778,18.64,8.555,20.953,20.462,17.022,14.428,12.372,10.316,13.437,16.342,1.851,7.406,6.066,18.435,14.613,6.969,37.774,20.28,22.961,11.172,8.039,3.832
368.41,9.712,23.481,18.755,8.394,20.65,20.518,17.188,14.324,12.422,10.299,13.371,17.132,2.268,7.68,6.364,18.111,14.952,7.584,37.324,19.465,22.546,11.152,8.235,3.89
368.78,9.466,23.278,18.721,8.53,20.504,20.918,17.137,14.468,11.745,10.133,13.408,16.54,1.847,7.54,6.29,17.567,14.607,7.579,36.616,18.77,22.648,11.477,8.237,3.99
369.16,9.245,22.15,17.147,7.147,19.297,20.242,16.818,13.753,9.983,10.082,12.889,15.195,1.117,6.606,5.135,16.977,13.585,6.483,35.658,17.737,21.527,11.179,8.102,4.018
369.53,9.28,21.524,16.844,7.41,18.693,20.099,16.417,13.661,10.993,10.453,13.696,15.411,1.924,6.622,5.115,17.285,13.133,6.618,35,17.019,20.413,9.941,8.957,3.553
369.91,9.923,21.216,16.55,6.986,18.825,20.351,16.631,13.835,10.604,10.891,13.833,15.781,2.629,6.947,4.968,17.398,13.41,7.505,35.586,16.815,19.961,10.01,8.606,3.589
370.28,9.849,21.467,17.393,6.502,18.434,19.733,16.466,13.135,10.996,10.906,13.629,15.689,2.967,7.23,5.115,17.691,13.063,6.935,35.317,16.965,19.854,10.218,8.799,4.5
370.65,9.793,21.05,17.684,6.088,17.877,19.659,16.289,12.359,10.443,10.593,13.472,15.597,2.513,6.989,5.067,17.965,13.128,6.531,35.677,16.473,19.428,10.762,8.655,4.605
371.03,9.76,20.434,16.47,5.58,17.61,19.242,15.638,12.336,9.81,9.995,13.291,14.048,2.934,6.507,4.271,16.96,12.94,5.733,35.836,16.075,19.289,10.974,8.324,4.494
371.4,9.409,20.185,15.91,5.763,17.812,19.093,14.987,12.293,10.442,10.158,13.045,13.787,2.762,6.629,3.937,17.717,12.775,5.567,35.521,16.423,19.787,11.163,8.047,4.328
371.77,9.287,19.449,15.15,6.524,17.475,19.579,14.097,12.561,9.91,10.081,13.063,13.331,3.072,6.527,3.732,17.834,12.932,5.344,35.036,16.3,18.257,11.232,8.316,4.662
372.15,9.252,19.074,15.054,6.11,17.046,19.759,13.519,12.553,9.989,9.297,12.981,12.566,3.748,6.16,3.713,17.786,13.802,4.825,34.993,16.077,17.887,11.005,8.5,5.192
372.52,9.052,18.926,14.542,5.692,16.529,19.521,12.709,12.524,9.784,9.442,13.501,12.179,3.35,6.293,3.22,17.625,13.666,3.9,34.488,16.023,17.668,11.009,9.104,5.551
372.89,9.074,18.236,14.042,5.552,15.78,19.17,13.401,12.343,10.239,9.133,13.429,12.082,3.569,6.026,3.132,18.065,13.228,3.99,34.446,16.5,17.882,11.386,8.479,5.211
373.27,9.026,18.068,14.768,5.823,15.845,19.278,13.326,12.875,11.042,8.755,13.282,12.483,3.509,5.829,3.474,17.966,13.593,4.399,34.508,16.913,18.128,11.383,8.393,5.555
373.64,9.072,18.112,14.737,5.721,15.459,18.944,12.855,12.915,10.188,8.283,12.818,12.111,2.826,5.337,3.506,17.987,13.19,4.645,33.989,16.971,18.821,12.397,8.067,5.859
374.01,8.567,17.665,14.916,5.804,14.59,19.203,12.198,12.537,9.943,7.52,12.149,11.893,2.212,5.04,3.763,17.764,13.047,3.881,33.316,16.77,18.455,12.074,7.693,5.587
374.39,8.64,17.343,14.785,5.962,15.004,19.569,11.486,12.463,10.334,7.787,12.585,11.899,2.302,4.973,3.827,17.814,13.298,4.294,33.02,16.769,18.135,11.51,7.722,5.475
374.76,8.836,17.169,14.503,5.891,15.162,19.402,11.122,12.999,10.659,8.034,12.222,12.153,2.542,5.099,4.199,17.728,13.4,4.933,32.524,16.853,17.837,11.625,7.622,5.631
375.13,8.792,17.496,14.832,6.101,15.062,19.751,11.247,12.845,11.646,8.096,12.319,12.642,2.492,5.489,4.711,17.766,13.397,5.372,32.19,17.434,18.086,11.736,7.904,5.472
375.51,9.289,17.338,15.279,6.148,14.816,19.534,11.456,12.491,11.737,8.234,12.658,13.138,3.069,5.376,5.025,17.315,13.51,6.047,32.202,17.54,17.89,11.779,8.433,5.246
375.88,9.29,17.445,15.751,6.047,15.336,19.66,11.747,12.447,12.11,8.662,12.923,13.651,3.144,5.873,5.247,17.487,13.599,6.578,32.018,17.782,18.2,12.302,8.45,4.928
376.25,9.475,17.427,15.773,6.597,15.615,20.079,11.999,12.612,12.501,9.057,12.722,14.035,3.38,6.152,5.489,17.871,13.006,6.9,31.667,18.597,17.726,11.711,8.08,4.311
376.62,9.499,16.748,15.791,6.686,16.253,19.882,11.91,12.217,12.917,8.8,12.522,14.181,3.57,5.931,5.561,17.8,12.764,7.319,31.581,18.709,18.017,12.121,7.607,3.754
377,9.909,17.202,16.091,7.116,16.828,19.681,11.513,12.604,13.144,8.902,12.722,14.16,3.484,6.313,6.119,17.865,12.612,7.561,31.3,18.89,18.101,11.684,7.806,3.729
377.37,9.953,17.719,16.332,7.656,17.179,19.99,11.48,12.732,13.135,9.502,13.556,14.311,4.098,7.088,6.65,18.228,12.664,7.847,30.93,19.067,18.378,11.699,8.089,3.496
377.74,9.776,17.345,16.35,7.585,16.989,19.968,11.774,12.578,13.247,9.89,13.751,14.443,4.166,7.465,6.42,18.063,12.894,8.024,30.592,18.961,18.122,11.71,7.812,3.074
378.12,9.832,17.297,16.05,7.826,17.022,19.594,11.631,12.528,13.365,10.136,13.858,14.016,4.547,7.24,6.37,17.777,12.435,8.044,30.119,19.378,18.319,11.688,8.386,3.265
378.49,9.406,16.786,15.896,7.736,16.601,19.476,11.521,12.327,12.862,9.828,13.644,13.753,4.209,7.03,5.71,17.432,12.235,8.053,29.657,19.68,19.012,12.392,8.161,2.933
378.86,9.211,16.54,15.82,8.02,16.641,19.404,11.419,12.235,12.714,10.018,13.732,13.593,4.434,7.029,5.725,17.209,12.304,8.207,29.838,19.859,19.48,11.929,8.548,3.059
379.23,8.967,15.814,15.884,7.697,16.24,19.268,11.02,11.824,12.214,9.612,13.604,13.103,4.486,6.912,5.634,17.096,11.854,8.08,29.111,19.354,19.532,11.83,8.108,3.164
379.61,8.498,15.897,15.493,7.198,16.064,19.294,10.6,11.904,11.909,9.152,13.621,12.481,4.524,6.919,5.399,16.79,11.705,8.016,29.196,19.401,19.351,11.966,8.128,3.545
379.98,8.406,15.584,15.208,7.082,15.645,19.021,10.51,11.831,11.627,8.962,13.57,12.089,4.51,6.723,5.189,16.503,11.869,8.089,29.381,19.433,19.516,12.067,8.062,3.553
380.35,7.982,15.602,15.122,6.668,15.389,18.474,10.405,11.592,11.217,8.849,13.483,11.666,4.08,6.233,4.805,15.99,11.701,8.245,29.439,18.898,19.951,12.563,8.106,3.33
380.73,7.812,15.612,14.922,6.701,14.991,18.488,10.107,11.431,10.432,8.779,13.099,11.131,4.039,5.927,4.406,15.873,11.805,7.953,29.197,19.116,19.938,12.6,8.275,3.714
381.1,7.444,15.652,14.598,6.112,14.579,18.406,9.939,11.082,10.136,8.814,12.679,10.858,4.235,5.478,3.846,15.377,12.153,7.897,29.295,19.02,19.591,12.689,7.939,4.05
381.47,7.278,15.361,14.276,6.028,14.608,18.323,9.844,10.838,10.241,8.729,12.08,10.521,4.195,5.237,3.663,14.69,11.966,8.022,29.413,18.837,19.159,12.604,8.031,4.195
381.84,7.107,15.515,14.209,6.09,15.013,18.226,9.723,10.908,10.536,8.459,11.859,10.259,4.431,5.024,3.761,14.426,11.873,8.349,29.95,19.321,19.258,12.496,7.872,4.401
382.22,6.825,15.601,14.25,5.923,15.034,18.216,10.025,11.26,10.595,8.842,11.867,10.437,4.672,5.36,3.627,14.17,12.323,8.606,30.196,19.386,19.116,12.173,7.484,4.007
382.59,7.271,16.249,14.39,6.361,15.714,18.545,10.799,11.778,11.136,9.529,11.969,10.561,5.344,5.993,4.396,14.526,12.661,8.74,30.514,19.83,19.035,12.199,7.826,4.028
382.96,7.34,16.844,14.619,6.094,15.735,18.432,11.019,11.497,11.139,9.335,11.923,10.585,5.244,6.057,4.468,14.496,12.551,8.374,30.579,20.028,19.332,12.352,7.512,3.597
383.33,7.522,17.687,14.798,6.395,16.132,18.606,11.316,11.845,11.649,9.867,12.109,10.954,5.739,6.355,4.443,14.907,13.156,8.648,31.019,20.763,19.007,12.453,7.776,3.38
383.71,7.789,17.611,14.733,6.779,16.394,18.76,11.524,11.819,11.765,9.783,11.997,11.147,5.659,6.175,4.664,14.88,13.22,8.572,30.795,21.057,18.881,12.522,7.878,3.137
